StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q35,QID2,QID2_5_TEXT,QID3,QID3_10_TEXT,QID4,1._1,2.,3.,4.,5.,6.,7.,8._1,8._2,8._3,8._4,8._5,8._6,9.,10._1,11._1,11._2,11._3,11._4,12.,13.,Q_RecaptchaStatus,Q_RecaptchaError
2026-05-23 19:00:22,2026-05-23 19:04:29,IP Address,31.22.162.209,100,246,True,2026-05-23 19:04:29,R_2JQXgzm4jERSTdL,,,,,38.7219,-9.1398,anonymous,EN,1,I agree to participate in the study,Master's student,,Data Science / Analytics,,Working with data is a central part of my role,8,More than 40 times,"Spreadsheet-based tools (e.g., Excel, Power Query),Programming scripts or queries (e.g., Python, R, SQL),Data preparation systems with integrated LLMs that automatically apply transformations,Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging),Conversational AI assistants used to suggest data cleaning or transformation steps (e.g., generating code or describing actions to perform)",Data preparation systems with integrated LLMs that automatically apply transformations,Python,51-75% of the time,Claude,Very Easy,Easy,Easy,Difficult,Easy,Neither easy nor diffficult,"Yes, and I have used such systems",4,Agree,Agree,Neither agree nor disagree,Strongly agree,"Automatically perform tasks, while allowing user inspection and control",human in the loop,complete,
2026-05-23 19:04:33,2026-05-23 19:14:09,IP Address,87.196.74.190,100,575,True,2026-05-23 19:14:09,R_8D7aEI7IFkupvjA,,,,,38.7294,-9.1538,anonymous,EN,1,I agree to participate in the study,Master's student,,Engineering (non-computing),,Working with data is a central part of my role,8,6-19 times,"Spreadsheet-based tools (e.g., Excel, Power Query),Programming scripts or queries (e.g., Python, R, SQL),Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging),Conversational AI assistants used to suggest data cleaning or transformation steps (e.g., generating code or describing actions to perform)","Programming scripts or queries (e.g., Python, R, SQL)",Python,76-100% of the time,ChatGPT,Easy,Difficult,Difficult,Difficult,Neither easy nor diffficult,Difficult,"No, I was not aware of this possibility",2,Agree,Agree,Agree,Agree,"Automatically perform tasks, while allowing user inspection and control",,complete,
2026-05-23 19:14:17,2026-05-23 19:18:44,IP Address,172.225.179.55,100,267,True,2026-05-23 19:18:45,R_21SnBeR43Hsuo3z,,,,,38.7294,-9.1538,anonymous,EN,1,I agree to participate in the study,Master's student,,Health / Life Sciences,,I occasionally work on tasks that involve analysing or handling data,2,1-5 times,"Spreadsheet-based tools (e.g., Excel, Power Query),Data preparation systems with integrated LLMs that automatically apply transformations,Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging)","Spreadsheet-based tools (e.g., Excel, Power Query)",Excel,26-50% of the time,ChatGPT,Neither easy nor diffficult,Easy,Easy,Easy,Easy,Neither easy nor diffficult,"Yes, and I have used such systems",2,Agree,Agree,Agree,Strongly agree,"Automatically perform tasks, while allowing user inspection and control",,complete,
2026-05-23 19:15:02,2026-05-23 19:22:17,IP Address,87.196.84.142,100,434,True,2026-05-23 19:22:17,R_2h5HbfOGmuhdlsd,,,,,38.7057,-9.1359,anonymous,EN,1,I agree to participate in the study,Working professionally,,Other:,Management Information,Working with data is a central part of my role,8,More than 40 times,"Spreadsheet-based tools (e.g., Excel, Power Query),Programming scripts or queries (e.g., Python, R, SQL),Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging)","Spreadsheet-based tools (e.g., Excel, Power Query)",Excel,51-75% of the time,ChatGPT,Easy,Easy,Neither easy nor diffficult,Very Easy,Neither easy nor diffficult,Neither easy nor diffficult,"Yes, but I have never used such systems",3,Agree,Agree,Neither agree nor disagree,Agree,"Automatically perform tasks, while allowing user inspection and control",,complete,
2026-05-23 19:16:16,2026-05-23 19:25:10,IP Address,31.22.161.241,100,533,True,2026-05-23 19:25:10,R_8g8vi2ojaCfgC7F,,,,,38.7219,-9.1398,anonymous,EN,1,I agree to participate in the study,Undergraduate student,,Other:,"Sociocultural ",I occasionally work on tasks that involve analysing or handling data,2,20-39 times,"Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging)","Spreadsheet-based tools (e.g., Excel, Power Query)",Python,76-100% of the time,"Copilot (e.g., GitHub Copilot)",Difficult,Difficult,Difficult,Neither easy nor diffficult,Neither easy nor diffficult,Neither easy nor diffficult,"Yes, but I have never used such systems",2,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Automatically perform tasks, while allowing user inspection and control",,complete,
2026-05-23 19:26:28,2026-05-23 19:30:16,IP Address,87.58.95.184,100,227,True,2026-05-23 19:30:17,R_2PgERRArDArJvxf,,,,,38.7294,-9.1538,anonymous,EN,1,I agree to participate in the study,Working professionally,,Management / Business / Economics,,I occasionally work on tasks that involve analysing or handling data,6,6-19 times,"Spreadsheet-based tools (e.g., Excel, Power Query),Programming scripts or queries (e.g., Python, R, SQL),Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging),Conversational AI assistants used to suggest data cleaning or transformation steps (e.g., generating code or describing actions to perform)","Spreadsheet-based tools (e.g., Excel, Power Query)","Excel ",76-100% of the time,Gemini / Bard,Easy,Difficult,Easy,Easy,Easy,Easy,"Yes, but I have never used such systems",2,Agree,Agree,Neither agree nor disagree,Agree,"Automatically perform tasks, while allowing user inspection and control",,complete,
2026-05-23 19:27:18,2026-05-23 19:31:15,IP Address,95.92.184.231,100,236,True,2026-05-23 19:31:15,R_8xRT9S1jOxvngWq,,,,,38.7219,-9.1398,anonymous,EN,1,I agree to participate in the study,Working professionally,,Data Science / Analytics,,Working with data is a central part of my role,8,20-39 times,"Spreadsheet-based tools (e.g., Excel, Power Query),Programming scripts or queries (e.g., Python, R, SQL),Data preparation systems with integrated LLMs that automatically apply transformations,Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging),Conversational AI assistants used to suggest data cleaning or transformation steps (e.g., generating code or describing actions to perform)","Programming scripts or queries (e.g., Python, R, SQL)","python amd sql ",51-75% of the time,ChatGPT,Very Easy,Very Easy,Easy,Easy,Easy,Neither easy nor diffficult,"Yes, and I have used such systems",4,Neither agree nor disagree,Agree,Agree,Agree,"Assist mainly in complex or ambiguous tasks, leaving execution to the user",,complete,
2026-05-23 20:45:31,2026-05-23 20:50:11,IP Address,80.99.40.75,100,279,True,2026-05-23 20:50:11,R_2IbzVbSzLgxL2ix,,,,,47.5,19.0412,anonymous,EN,0.8999999761581421,I agree to participate in the study,Undergraduate student,,Data Science / Analytics,,Working with data is a central part of my role,8,More than 40 times,"Programming scripts or queries (e.g., Python, R, SQL),Data preparation systems with integrated LLMs that automatically apply transformations,Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging),Conversational AI assistants used to suggest data cleaning or transformation steps (e.g., generating code or describing actions to perform)","Programming scripts or queries (e.g., Python, R, SQL)",Python,76-100% of the time,"Copilot (e.g., GitHub Copilot)",Difficult,Very Easy,Neither easy nor diffficult,Very Easy,Neither easy nor diffficult,Very Difficult,"Yes, and I have used such systems",4,Agree,Agree,Agree,Agree,"Automatically perform tasks, while allowing user inspection and control",,complete,
2026-05-23 21:24:20,2026-05-23 21:27:46,IP Address,188.37.187.69,100,206,True,2026-05-23 21:27:47,R_2j6WkgbWXvSIQw5,,,,,38.6821,-9.162,anonymous,EN,1,I agree to participate in the study,Working professionally,,Data Science / Analytics,,Working with data is a central part of my role,8,More than 40 times,"Spreadsheet-based tools (e.g., Excel, Power Query),Programming scripts or queries (e.g., Python, R, SQL),Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging),Conversational AI assistants used to suggest data cleaning or transformation steps (e.g., generating code or describing actions to perform)","Programming scripts or queries (e.g., Python, R, SQL)",Python,51-75% of the time,Claude,Difficult,Easy,Neither easy nor diffficult,Difficult,Very Easy,Neither easy nor diffficult,"Yes, and I have used such systems",3,Agree,Agree,Strongly agree,Strongly agree,"Automatically perform tasks, while allowing user inspection and control",,complete,
2026-05-23 22:38:19,2026-05-23 22:43:14,IP Address,81.84.52.172,100,295,True,2026-05-23 22:43:15,R_25Za6G6V7j5UiEd,,,,,38.7268,-9.3461,anonymous,EN,1,I agree to participate in the study,Master's student,,Management / Business / Economics,,I occasionally work on tasks that involve analysing or handling data,2,6-19 times,"Spreadsheet-based tools (e.g., Excel, Power Query),Programming scripts or queries (e.g., Python, R, SQL),Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging)","Spreadsheet-based tools (e.g., Excel, Power Query)",Excel,1-25% of the time,Gemini / Bard,Neither easy nor diffficult,Difficult,Difficult,Neither easy nor diffficult,Neither easy nor diffficult,Neither easy nor diffficult,"Yes, and I have used such systems",3,Agree,Neither agree nor disagree,Agree,Agree,"Automatically perform tasks, while allowing user inspection and control",Data preparation,complete,
2026-05-24 00:50:10,2026-05-24 00:53:41,IP Address,94.62.119.152,100,210,True,2026-05-24 00:53:41,R_2frF2vFDrUoSydi,,,,,38.6821,-9.162,anonymous,EN,1,I agree to participate in the study,Master's student,,Engineering (non-computing),,I rarely engage in tasks involving data,1,1-5 times,"Spreadsheet-based tools (e.g., Excel, Power Query),Programming scripts or queries (e.g., Python, R, SQL),Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging)","Spreadsheet-based tools (e.g., Excel, Power Query)",Excel,1-25% of the time,ChatGPT,Easy,Neither easy nor diffficult,Neither easy nor diffficult,Neither easy nor diffficult,Difficult,Difficult,"Yes, but I have never used such systems",1,Agree,Agree,Neither agree nor disagree,Agree,"Automatically perform tasks, while allowing user inspection and control",,complete,
2026-05-24 09:45:10,2026-05-24 09:50:01,IP Address,87.196.83.85,100,291,True,2026-05-24 09:50:02,R_8rt2czQ26hUZxp7,,,,,41.1459,-8.6169,anonymous,EN,1,I agree to participate in the study,Working professionally,,Management / Business / Economics,,I regularly work with data as part of my studies or job,7,6-19 times,"Spreadsheet-based tools (e.g., Excel, Power Query),Programming scripts or queries (e.g., Python, R, SQL),Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging)","Programming scripts or queries (e.g., Python, R, SQL)",Excel,1-25% of the time,ChatGPT,Easy,Easy,Neither easy nor diffficult,Easy,Difficult,Difficult,"Yes, but I have never used such systems",4,Agree,Neither agree nor disagree,Strongly agree,Agree,"Automatically perform tasks, while allowing user inspection and control",,complete,
2026-05-24 10:38:22,2026-05-24 10:42:28,IP Address,172.225.212.3,100,245,True,2026-05-24 10:42:28,R_2vpGSvsMORrBvUt,,,,,38.7294,-9.1538,anonymous,EN,1,I agree to participate in the study,Master's student,,Data Science / Analytics,,I regularly work with data as part of my studies or job,8,20-39 times,"Programming scripts or queries (e.g., Python, R, SQL),Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging),Conversational AI assistants used to suggest data cleaning or transformation steps (e.g., generating code or describing actions to perform)","Programming scripts or queries (e.g., Python, R, SQL)",Python,51-75% of the time,ChatGPT,Difficult,Difficult,Easy,Neither easy nor diffficult,Difficult,Very Difficult,"Yes, but I have never used such systems",1,Agree,Disagree,Agree,Agree,"Automatically perform tasks, while allowing user inspection and control",I don’t know,complete,
2026-05-24 13:37:33,2026-05-24 13:41:26,IP Address,89.114.229.225,100,233,True,2026-05-24 13:41:27,R_8DkJMWNEKAvkITz,,,,,38.7219,-9.1398,anonymous,EN,1,I agree to participate in the study,Working professionally,,Management / Business / Economics,,I regularly work with data as part of my studies or job,8,More than 40 times,"Spreadsheet-based tools (e.g., Excel, Power Query),Programming scripts or queries (e.g., Python, R, SQL),Data preparation systems with integrated LLMs that automatically apply transformations,Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging),Conversational AI assistants used to suggest data cleaning or transformation steps (e.g., generating code or describing actions to perform)","Spreadsheet-based tools (e.g., Excel, Power Query)","Excel ",51-75% of the time,ChatGPT,Easy,Difficult,Easy,Easy,Neither easy nor diffficult,Easy,"Yes, but I have never used such systems",4,Disagree,Strongly agree,Strongly agree,Strongly agree,"Assist mainly in complex or ambiguous tasks, leaving execution to the user",,complete,
2026-05-25 10:09:02,2026-05-25 10:14:36,IP Address,95.136.78.137,100,334,True,2026-05-25 10:14:36,R_2GWNI3TjbN93KGl,,,,,38.7034,-8.9773,anonymous,EN,1,I agree to participate in the study,Master's student,,Data Science / Analytics,,I regularly work with data as part of my studies or job,8,6-19 times,"Programming scripts or queries (e.g., Python, R, SQL),Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging),Conversational AI assistants used to suggest data cleaning or transformation steps (e.g., generating code or describing actions to perform)","Programming scripts or queries (e.g., Python, R, SQL)",Python,26-50% of the time,Claude,Easy,Easy,Neither easy nor diffficult,Very Easy,Easy,Easy,"Yes, but I have never used such systems",2,Agree,Strongly agree,Disagree,Agree,"Automatically perform tasks, while allowing user inspection and control",I am unsure,complete,
2026-05-25 11:32:19,2026-05-25 11:34:51,IP Address,31.22.144.72,100,152,True,2026-05-25 11:34:51,R_86WSP8zToVwGjOp,,,,,38.7294,-9.1538,anonymous,EN,1,I agree to participate in the study,Working professionally,,Data Science / Analytics,,Working with data is a central part of my role,8,More than 40 times,"Spreadsheet-based tools (e.g., Excel, Power Query),Programming scripts or queries (e.g., Python, R, SQL),Data preparation systems with integrated LLMs that automatically apply transformations,Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging)","Programming scripts or queries (e.g., Python, R, SQL)",Python,76-100% of the time,ChatGPT,Difficult,Difficult,Difficult,Difficult,Difficult,Difficult,"No, I was not aware of this possibility",3,Agree,Agree,Strongly agree,Agree,"Assist mainly in complex or ambiguous tasks, leaving execution to the user",,complete,
2026-05-25 14:21:42,2026-05-25 14:25:29,IP Address,148.69.15.211,100,227,True,2026-05-25 14:25:29,R_8yq0twJ2ITkbTxV,,,,,41.1459,-8.6169,anonymous,EN,1,I agree to participate in the study,Master's student,,Health / Life Sciences,,I rarely engage in tasks involving data,2,1-5 times,"Spreadsheet-based tools (e.g., Excel, Power Query),Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging)","Spreadsheet-based tools (e.g., Excel, Power Query)",,1-25% of the time,ChatGPT,Difficult,Difficult,Very Difficult,Very Difficult,Very Difficult,Very Difficult,"No, I was not aware of this possibility",1,Agree,Strongly agree,Strongly agree,Strongly agree,"Automatically perform tasks, while allowing user inspection and control",,complete,
2026-05-25 15:18:07,2026-05-25 15:22:29,IP Address,87.196.75.202,100,262,True,2026-05-25 15:22:30,R_80O6tsSaimLNvgY,,,,,38.7294,-9.1538,anonymous,EN,1,I agree to participate in the study,Master's student,,Management / Business / Economics,,I regularly work with data as part of my studies or job,6,More than 40 times,"Spreadsheet-based tools (e.g., Excel, Power Query),Programming scripts or queries (e.g., Python, R, SQL),Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging)","Spreadsheet-based tools (e.g., Excel, Power Query)",Excel,26-50% of the time,ChatGPT,Difficult,Easy,Easy,Easy,Difficult,Neither easy nor diffficult,"No, I was not aware of this possibility",1,Agree,Neither agree nor disagree,Agree,Strongly agree,"Assist mainly in complex or ambiguous tasks, leaving execution to the user",,complete,
2026-05-19 17:34:37,2026-05-19 18:27:50,IP Address,87.196.81.213,6,3192,False,2026-05-26 18:27:52,R_8qFnHEbUEIapVhT,,,,,38.7057,-9.1359,anonymous,EN,1,I agree to participate in the study,,,,,,,,,,,,,,,,,,,,,,,,,,,complete,
2026-05-20 09:38:09,2026-05-20 09:38:45,IP Address,31.22.160.120,47,36,False,2026-05-27 09:38:46,R_2MOL92kguJeNQmR,,,,,38.7294,-9.1538,anonymous,EN,1,I agree to participate in the study,Master's student,,Data Science / Analytics,,Working with data is a central part of my role,,More than 40 times,"Dedicated data preparation tools (e.g., OpenRefine, KNIME, Trifacta)","Dedicated data preparation tools (e.g., OpenRefine, KNIME, Trifacta)",,26-50% of the time,Claude,,,,,,,,,,,,,,,complete,
