respondent_id,response_status,consent_confirmed,current_situation,field_or_professional_area,role_of_data_in_current_activity,q1_data_preparation_familiarity,q2_prior_data_preparation_frequency,q3_approaches_used,q4_most_used_tool_category,q6_share_of_tasks_using_conversational_ai,q7_most_used_conversational_ai,q8_1_difficulty_missing_values,q8_2_difficulty_errors_and_inconsistencies,q8_3_difficulty_outliers,q8_4_difficulty_column_semantics,q8_5_difficulty_transform_or_encode,q8_6_difficulty_feature_inclusion,q9_awareness_of_llm_integrated_systems,q10_confidence_in_llm_integrated_systems,q11_1_automation_reduces_effort,q11_2_prefer_control_over_full_automation,q11_3_trust_when_steps_are_inspectable,q11_4_transparency_and_reproducibility_important,q12_ideal_role_of_intelligent_systems
PRE-011,Complete,Yes,Undergraduate student,Other:,I occasionally work on tasks that involve analysing or handling data,2,20-39 times,"Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging)","Spreadsheet-based tools (e.g., Excel, Power Query)",76-100% of the time,"Copilot (e.g., GitHub Copilot)",Difficult,Difficult,Difficult,Neither easy nor diffficult,Neither easy nor diffficult,Neither easy nor diffficult,"Yes, but I have never used such systems",2,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Automatically perform tasks, while allowing user inspection and control"
PRE-012,Complete,Yes,Working professionally,Management / Business / Economics,I occasionally work on tasks that involve analysing or handling data,6,6-19 times,"Spreadsheet-based tools (e.g., Excel, Power Query),Programming scripts or queries (e.g., Python, R, SQL),Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging),Conversational AI assistants used to suggest data cleaning or transformation steps (e.g., generating code or describing actions to perform)","Spreadsheet-based tools (e.g., Excel, Power Query)",76-100% of the time,Gemini / Bard,Easy,Difficult,Easy,Easy,Easy,Easy,"Yes, but I have never used such systems",2,Agree,Agree,Neither agree nor disagree,Agree,"Automatically perform tasks, while allowing user inspection and control"
PRE-013,Complete,Yes,Working professionally,Data Science / Analytics,Working with data is a central part of my role,8,20-39 times,"Spreadsheet-based tools (e.g., Excel, Power Query),Programming scripts or queries (e.g., Python, R, SQL),Data preparation systems with integrated LLMs that automatically apply transformations,Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging),Conversational AI assistants used to suggest data cleaning or transformation steps (e.g., generating code or describing actions to perform)","Programming scripts or queries (e.g., Python, R, SQL)",51-75% of the time,ChatGPT,Very Easy,Very Easy,Easy,Easy,Easy,Neither easy nor diffficult,"Yes, and I have used such systems",4,Neither agree nor disagree,Agree,Agree,Agree,"Assist mainly in complex or ambiguous tasks, leaving execution to the user"
PRE-014,Complete,Yes,Undergraduate student,Data Science / Analytics,Working with data is a central part of my role,8,More than 40 times,"Programming scripts or queries (e.g., Python, R, SQL),Data preparation systems with integrated LLMs that automatically apply transformations,Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging),Conversational AI assistants used to suggest data cleaning or transformation steps (e.g., generating code or describing actions to perform)","Programming scripts or queries (e.g., Python, R, SQL)",76-100% of the time,"Copilot (e.g., GitHub Copilot)",Difficult,Very Easy,Neither easy nor diffficult,Very Easy,Neither easy nor diffficult,Very Difficult,"Yes, and I have used such systems",4,Agree,Agree,Agree,Agree,"Automatically perform tasks, while allowing user inspection and control"
PRE-015,Complete,Yes,Working professionally,Data Science / Analytics,Working with data is a central part of my role,8,More than 40 times,"Spreadsheet-based tools (e.g., Excel, Power Query),Programming scripts or queries (e.g., Python, R, SQL),Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging),Conversational AI assistants used to suggest data cleaning or transformation steps (e.g., generating code or describing actions to perform)","Programming scripts or queries (e.g., Python, R, SQL)",51-75% of the time,Claude,Difficult,Easy,Neither easy nor diffficult,Difficult,Very Easy,Neither easy nor diffficult,"Yes, and I have used such systems",3,Agree,Agree,Strongly agree,Strongly agree,"Automatically perform tasks, while allowing user inspection and control"
PRE-016,Complete,Yes,Master's student,Management / Business / Economics,I occasionally work on tasks that involve analysing or handling data,2,6-19 times,"Spreadsheet-based tools (e.g., Excel, Power Query),Programming scripts or queries (e.g., Python, R, SQL),Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging)","Spreadsheet-based tools (e.g., Excel, Power Query)",1-25% of the time,Gemini / Bard,Neither easy nor diffficult,Difficult,Difficult,Neither easy nor diffficult,Neither easy nor diffficult,Neither easy nor diffficult,"Yes, and I have used such systems",3,Agree,Neither agree nor disagree,Agree,Agree,"Automatically perform tasks, while allowing user inspection and control"
PRE-017,Complete,Yes,Master's student,Engineering (non-computing),I rarely engage in tasks involving data,1,1-5 times,"Spreadsheet-based tools (e.g., Excel, Power Query),Programming scripts or queries (e.g., Python, R, SQL),Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging)","Spreadsheet-based tools (e.g., Excel, Power Query)",1-25% of the time,ChatGPT,Easy,Neither easy nor diffficult,Neither easy nor diffficult,Neither easy nor diffficult,Difficult,Difficult,"Yes, but I have never used such systems",1,Agree,Agree,Neither agree nor disagree,Agree,"Automatically perform tasks, while allowing user inspection and control"
PRE-018,Complete,Yes,Working professionally,Management / Business / Economics,I regularly work with data as part of my studies or job,7,6-19 times,"Spreadsheet-based tools (e.g., Excel, Power Query),Programming scripts or queries (e.g., Python, R, SQL),Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging)","Programming scripts or queries (e.g., Python, R, SQL)",1-25% of the time,ChatGPT,Easy,Easy,Neither easy nor diffficult,Easy,Difficult,Difficult,"Yes, but I have never used such systems",4,Agree,Neither agree nor disagree,Strongly agree,Agree,"Automatically perform tasks, while allowing user inspection and control"
PRE-019,Complete,Yes,Master's student,Data Science / Analytics,I regularly work with data as part of my studies or job,8,20-39 times,"Programming scripts or queries (e.g., Python, R, SQL),Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging),Conversational AI assistants used to suggest data cleaning or transformation steps (e.g., generating code or describing actions to perform)","Programming scripts or queries (e.g., Python, R, SQL)",51-75% of the time,ChatGPT,Difficult,Difficult,Easy,Neither easy nor diffficult,Difficult,Very Difficult,"Yes, but I have never used such systems",1,Agree,Disagree,Agree,Agree,"Automatically perform tasks, while allowing user inspection and control"
PRE-020,Complete,Yes,Working professionally,Management / Business / Economics,I regularly work with data as part of my studies or job,8,More than 40 times,"Spreadsheet-based tools (e.g., Excel, Power Query),Programming scripts or queries (e.g., Python, R, SQL),Data preparation systems with integrated LLMs that automatically apply transformations,Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging),Conversational AI assistants used to suggest data cleaning or transformation steps (e.g., generating code or describing actions to perform)","Spreadsheet-based tools (e.g., Excel, Power Query)",51-75% of the time,ChatGPT,Easy,Difficult,Easy,Easy,Neither easy nor diffficult,Easy,"Yes, but I have never used such systems",4,Disagree,Strongly agree,Strongly agree,Strongly agree,"Assist mainly in complex or ambiguous tasks, leaving execution to the user"
PRE-021,Complete,Yes,Master's student,Data Science / Analytics,I regularly work with data as part of my studies or job,8,6-19 times,"Programming scripts or queries (e.g., Python, R, SQL),Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging),Conversational AI assistants used to suggest data cleaning or transformation steps (e.g., generating code or describing actions to perform)","Programming scripts or queries (e.g., Python, R, SQL)",26-50% of the time,Claude,Easy,Easy,Neither easy nor diffficult,Very Easy,Easy,Easy,"Yes, but I have never used such systems",2,Agree,Strongly agree,Disagree,Agree,"Automatically perform tasks, while allowing user inspection and control"
PRE-022,Complete,Yes,Working professionally,Data Science / Analytics,Working with data is a central part of my role,8,More than 40 times,"Spreadsheet-based tools (e.g., Excel, Power Query),Programming scripts or queries (e.g., Python, R, SQL),Data preparation systems with integrated LLMs that automatically apply transformations,Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging)","Programming scripts or queries (e.g., Python, R, SQL)",76-100% of the time,ChatGPT,Difficult,Difficult,Difficult,Difficult,Difficult,Difficult,"No, I was not aware of this possibility",3,Agree,Agree,Strongly agree,Agree,"Assist mainly in complex or ambiguous tasks, leaving execution to the user"
PRE-023,Complete,Yes,Master's student,Health / Life Sciences,I rarely engage in tasks involving data,2,1-5 times,"Spreadsheet-based tools (e.g., Excel, Power Query),Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging)","Spreadsheet-based tools (e.g., Excel, Power Query)",1-25% of the time,ChatGPT,Difficult,Difficult,Very Difficult,Very Difficult,Very Difficult,Very Difficult,"No, I was not aware of this possibility",1,Agree,Strongly agree,Strongly agree,Strongly agree,"Automatically perform tasks, while allowing user inspection and control"
PRE-024,Complete,Yes,Master's student,Management / Business / Economics,I regularly work with data as part of my studies or job,6,More than 40 times,"Spreadsheet-based tools (e.g., Excel, Power Query),Programming scripts or queries (e.g., Python, R, SQL),Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging)","Spreadsheet-based tools (e.g., Excel, Power Query)",26-50% of the time,ChatGPT,Difficult,Easy,Easy,Easy,Difficult,Neither easy nor diffficult,"No, I was not aware of this possibility",1,Agree,Neither agree nor disagree,Agree,Strongly agree,"Assist mainly in complex or ambiguous tasks, leaving execution to the user"
PRE-025,Partial,Yes,,,,,,,,,,,,,,,,,,,,,,
PRE-026,Partial,Yes,Master's student,Data Science / Analytics,Working with data is a central part of my role,,More than 40 times,"Dedicated data preparation tools (e.g., OpenRefine, KNIME, Trifacta)","Dedicated data preparation tools (e.g., OpenRefine, KNIME, Trifacta)",26-50% of the time,Claude,,,,,,,,,,,,,
PRE-027,Complete,Yes,Working professionally,Computer Science / Software Engineering,Working with data is a central part of my role,8,20-39 times,"Programming scripts or queries (e.g., Python, R, SQL),Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging)",Data preparation systems with integrated LLMs that automatically apply transformations,76-100% of the time,Claude,Difficult,Difficult,Easy,Easy,Easy,Easy,"Yes, and I have used such systems",5,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,"Automatically perform tasks, while allowing user inspection and control"
PRE-028,Partial,Yes,Working professionally,Data Science / Analytics,Working with data is a central part of my role,8,More than 40 times,"Programming scripts or queries (e.g., Python, R, SQL),Dedicated data preparation tools (e.g., OpenRefine, KNIME, Trifacta),Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging),Conversational AI assistants used to suggest data cleaning or transformation steps (e.g., generating code or describing actions to perform)",Data preparation systems with integrated LLMs that automatically apply transformations,76-100% of the time,ChatGPT,Easy,Difficult,Difficult,Easy,Easy,Difficult,"Yes, but I have never used such systems",5,,,,,
PRE-029,Partial,Yes,Working professionally,Engineering (non-computing),I rarely engage in tasks involving data,1,1-5 times,,,,,,,,,,,,,,,,,
PRE-030,Partial,Yes,Master's student,Engineering (non-computing),I occasionally work on tasks that involve analysing or handling data,2,1-5 times,"Spreadsheet-based tools (e.g., Excel, Power Query),Programming scripts or queries (e.g., Python, R, SQL),Conversational AI assistants (e.g., ChatGPT, Claude) used to ask for help (e.g., explanations, code suggestions, debugging)","Spreadsheet-based tools (e.g., Excel, Power Query)",1-25% of the time,ChatGPT,,,,,,,,,,,,,
PRE-031,Partial,Yes,Undergraduate student,Arts / Humanities,I occasionally work on tasks that involve analysing or handling data,,,,,,,,,,,,,,,,,,,
PRE-032,Partial,Yes,Undergraduate student,Management / Business / Economics,I occasionally work on tasks that involve analysing or handling data,2,1-5 times,,,,,,,,,,,,,,,,,
PRE-033,Partial,Yes,,,,,,,,,,,,,,,,,,,,,,
PRE-034,Complete,Yes,Working professionally,Management / Business / Economics,I regularly work with data as part of my studies or job,7,More than 40 times,"Spreadsheet-based tools (e.g., Excel, Power Query)","Spreadsheet-based tools (e.g., Excel, Power Query)",0% (I never use them),I do not use conversational AI assistants for these tasks,Neither easy nor diffficult,Difficult,Neither easy nor diffficult,Difficult,Neither easy nor diffficult,Difficult,"Yes, but I have never used such systems",1,Agree,Agree,Strongly agree,Strongly agree,"Automatically perform tasks, while allowing user inspection and control"
